,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,minsize,spike_x,label_reference,fold
101,10.0,174,90,4.170763260025873,0.16558861578266496,4.16084458934948,58.78245915961433,1.7026341665372873,40.92039800995025,clustcr,3,5,tcrvalid,10
102,clustcr,195,20,21.863183224475765,0.9281540048126504,21.863183224475765,85.66476733143399,16.363011344104503,74.84276729559748,clustcr,2,0,gliph,0
103,clustcr,81,13,14.025438294946717,0.9281540048126504,14.025438294946717,85.85962505715594,10.794087315228602,76.96078431372548,clustcr,3,0,gliph,0
104,,276,55,11.35632183908046,0.1532567049808429,11.358062538320048,81.73280423280423,6.606376456161864,58.16464237516869,clustcr,2,1,gliph,1
105,1.0,82,14,5.409961685823755,0.1532567049808429,5.410790925812385,86.68602400309717,3.080931943592888,56.94050991501416,clustcr,3,1,gliph,1
106,,267,49,11.24731841863316,0.15323322096230463,11.24731841863316,82.22088460852505,6.788231688630095,60.35422343324251,clustcr,2,1,gliph,2
107,2.0,90,20,5.822862396567576,0.15323322096230463,5.822862396567576,82.81084656084657,3.3251608948820106,57.10526315789474,clustcr,3,1,gliph,2
108,,289,72,11.93686791296353,0.15323322096230463,11.923371647509578,79.3350085132092,6.712643678160919,56.29820051413882,clustcr,2,1,gliph,3
109,3.0,94,25,5.96077229543365,0.15323322096230463,5.946360153256705,80.08316447146234,3.2490421455938696,54.63917525773196,clustcr,3,1,gliph,3
110,,287,64,11.739463601532567,0.1532567049808429,11.739463601532567,80.33598805375809,6.973180076628353,59.39947780678851,clustcr,2,1,gliph,4
111,4.0,91,19,5.731800766283525,0.1532567049808429,5.731800766283525,83.03767660910518,3.478927203065134,60.6951871657754,clustcr,3,1,gliph,4
112,,274,58,11.448275862068966,0.1532567049808429,11.448275862068966,81.24435175530067,6.681992337164751,58.366800535475235,clustcr,2,1,gliph,5
113,5.0,88,21,5.747126436781609,0.1532567049808429,5.747126436781609,82.5108225108225,3.1877394636015324,55.46666666666667,clustcr,3,1,gliph,5
114,,284,67,11.971183323114653,0.15328019619865113,11.957688180285144,79.25106192711826,6.438755173999693,53.84615384615385,clustcr,2,1,gliph,6
115,6.0,99,28,6.2998160637645615,0.15328019619865113,6.2854514793806535,77.85153118486451,3.0354131534569984,48.292682926829265,clustcr,3,1,gliph,6
116,,270,56,11.327406499080318,0.16860821581851626,11.313812662885175,81.66297899631233,6.868005518933006,60.704607046070464,clustcr,2,1,gliph,7
117,7.0,94,21,5.931943592887799,0.16860821581851626,5.917522612294956,81.90430137238647,3.464663498390311,58.54922279792746,clustcr,3,1,gliph,7
118,,285,72,11.909871244635193,0.15328019619865113,11.909871244635193,79.58020050125315,6.698344573881054,56.241956241956245,clustcr,2,1,gliph,8
119,8.0,94,28,6.054567749846719,0.15328019619865113,6.054567749846719,79.04635258358662,3.2035561005518085,52.91139240506329,clustcr,3,1,gliph,8
120,,271,52,11.46360153256705,0.1685823754789272,11.46360153256705,81.38726484667444,6.712643678160919,58.55614973262032,clustcr,2,1,gliph,9
121,9.0,91,17,5.946360153256705,0.1685823754789272,5.946360153256705,82.48295355438212,3.310344827586207,55.670103092783506,clustcr,3,1,gliph,9
122,,277,63,11.645724793135152,0.15323322096230463,11.645724793135152,80.27133115580769,6.589028501379099,56.578947368421055,clustcr,2,1,gliph,10
123,10.0,95,24,6.068035550107263,0.15323322096230463,6.068035550107263,79.843776106934,3.187250996015936,52.525252525252526,clustcr,3,1,gliph,10
124,,331,122,9.17356216160997,0.10215548064153641,9.174499387004495,73.90627247878004,4.127503064977524,44.98886414253897,clustcr,2,2,gliph,1
125,1.0,112,38,4.699152109510675,0.10215548064153641,4.69963220269718,72.88371598639456,1.9411524315488353,41.30434782608695,clustcr,3,2,gliph,1
126,,361,152,9.713993871297243,0.11235955056179775,9.70477066094596,72.08646616541354,4.392685667586066,45.26315789473684,clustcr,2,2,gliph,2
127,2.0,111,42,4.606741573033708,0.11235955056179775,4.596996628869139,71.83075933075932,2.1248339973439574,46.22222222222222,clustcr,3,2,gliph,2
128,,354,139,9.520890795791194,0.11237102870569006,9.520890795791194,72.87764652171433,4.300745735008683,45.17167381974249,clustcr,2,2,gliph,3
129,3.0,104,33,4.413116763714373,0.11237102870569006,4.413116763714373,74.98737373737373,2.053325160894882,46.52777777777778,clustcr,3,2,gliph,3
130,,344,133,9.419697588884349,0.1021659174499387,9.419697588884349,73.17241140642304,4.301185124642419,45.66160520607375,clustcr,2,2,gliph,4
131,4.0,111,41,4.658765835717205,0.1021659174499387,4.658765835717205,71.36314886314885,2.0126685737637926,43.20175438596491,clustcr,3,2,gliph,4
132,,326,121,9.001736998058648,0.1021763563911311,9.001736998058648,74.25844775538027,4.4344538673750895,49.2622020431328,clustcr,2,2,gliph,5
133,5.0,118,41,4.751200572187596,0.1021763563911311,4.751200572187596,72.52757600215229,2.2887503831613363,48.17204301075269,clustcr,3,2,gliph,5
134,,342,125,9.154066203514507,0.1021659174499387,9.154066203514507,74.30288684674649,4.3829178586023705,47.879464285714285,clustcr,2,2,gliph,6
135,6.0,96,26,4.127503064977524,0.1021659174499387,4.127503064977524,78.24570105820106,2.0944013077237433,50.742574257425744,clustcr,3,2,gliph,6
136,,356,150,9.635230407683663,0.1021763563911311,9.635230407683663,72.34494827893705,4.322059875344845,44.856839872746555,clustcr,2,2,gliph,7
137,7.0,111,45,4.628588944518238,0.1021763563911311,4.628588944518238,70.76397826397826,2.0128742209052826,43.4878587196468,clustcr,3,2,gliph,7
138,,362,147,9.769057837727365,0.10218679746576742,9.751609935602575,72.20928702972901,4.415823367065317,45.283018867924525,clustcr,2,2,gliph,8
139,8.0,114,37,4.700592683425302,0.10218679746576742,4.681590514157212,73.15580618212196,2.2079116835326587,47.161572052401745,clustcr,3,2,gliph,8
140,,360,141,9.53208009807928,0.11238250919493258,9.533054051292531,73.2973885682219,4.3424951466230715,45.551982851018224,clustcr,2,2,gliph,9
141,9.0,99,27,4.199019207192481,0.11238250919493258,4.1994482476754875,78.65717055110996,2.0741800347399613,49.39172749391727,clustcr,3,2,gliph,9
142,,339,126,9.280457890433361,0.10220768601798855,9.280457890433361,73.71646298637448,4.302943581357318,46.36563876651982,clustcr,2,2,gliph,10
143,10.0,107,37,4.5380212591986915,0.10220768601798855,4.5380212591986915,73.73720516243881,2.05437448896157,45.270270270270274,clustcr,3,2,gliph,10
144,,445,237,8.773946360153257,0.07662835249042145,8.760634628650264,67.04173354735153,3.1194910707442323,35.60804899387576,clustcr,2,3,gliph,1
145,1.0,123,47,3.839080459770115,0.07662835249042145,3.8246340154824865,69.78513356562138,1.5405840423085766,40.28056112224449,clustcr,3,3,gliph,1
146,,428,221,8.574055627921233,0.08428472913952954,8.574055627921233,67.38360743617753,3.034250249023063,35.388739946380696,clustcr,2,3,gliph,2
147,2.0,130,56,4.0073557581794494,0.08428472913952954,4.0073557581794494,66.4629537129537,1.4098536510612214,35.18164435946463,clustcr,3,3,gliph,2
148,,430,226,8.442503639010189,0.07661074082586379,8.442503639010189,67.703026947213,3.0797517811997244,36.47912885662432,clustcr,2,3,gliph,3
149,3.0,121,52,3.7079598559718074,0.07661074082586379,3.7079598559718074,67.04381477108751,1.378993334865548,37.1900826446281,clustcr,3,3,gliph,3
150,,429,217,8.542752068648483,0.08427827152926755,8.535744387403264,67.54966414057324,3.149183970576967,36.89407540394973,clustcr,2,3,gliph,4
151,4.0,127,54,3.915108795586883,0.08427827152926755,3.907746532832733,66.76225130949543,1.4941383802007508,38.23529411764706,clustcr,3,3,gliph,4
152,,447,241,8.963456676626063,0.08427181490845016,8.956481765246705,66.50947796920951,3.0570027581979775,34.131736526946106,clustcr,2,3,gliph,5
153,5.0,132,60,4.136980004596644,0.08427181490845016,4.1296353049341095,64.61921706239887,1.386760649708857,33.580705009276436,clustcr,3,3,gliph,5
154,,436,236,8.826233527428746,0.09193993257738278,8.826233527428746,66.45523882335809,3.1029727244866687,35.15625,clustcr,2,3,gliph,6
155,6.0,128,57,4.106650321789764,0.09193993257738278,4.106650321789764,65.0350322420635,1.4940239043824701,36.38059701492537,clustcr,3,3,gliph,6
156,,434,232,8.572085184617741,0.08426535927685001,8.572085184617741,67.72177834965854,3.1867626781063274,37.17605004468275,clustcr,2,3,gliph,7
157,7.0,121,52,3.7766201930442778,0.08426535927685001,3.7766201930442778,68.52274217976698,1.5167764669833002,40.16227180527383,clustcr,3,3,gliph,7
158,,417,205,8.407418761496015,0.08430410790925813,8.400398559055722,68.26430630387465,3.1884724457729745,37.956204379562045,clustcr,2,3,gliph,8
159,8.0,126,50,3.946965052115267,0.08430410790925813,3.9396029738637233,68.77948991044228,1.5789070284356557,40.07782101167315,clustcr,3,3,gliph,8
160,,439,225,8.764940239043824,0.08427827152926755,8.765611830511071,67.26008868377889,3.1415217224733736,35.83916083916084,clustcr,2,3,gliph,9
161,9.0,133,56,4.076003677597303,0.08427827152926755,4.076315991111792,65.99382655773633,1.47115163588997,36.090225563909776,clustcr,3,3,gliph,9
162,,432,223,8.695985289610787,0.08427827152926755,8.695985289610787,66.84038633691411,3.1182960465828993,35.859030837004404,clustcr,2,3,gliph,10
163,10.0,134,56,4.1296353049341095,0.08427827152926755,4.1296353049341095,65.11229028020072,1.5093472264787007,36.54916512059369,clustcr,3,3,gliph,10
164,,520,316,8.232193208287361,0.06742675003064852,8.23320255026974,63.098283660783665,2.415399705738107,29.337304542069994,clustcr,2,4,gliph,1
165,1.0,159,85,3.806546524457521,0.06742675003064852,3.8070132417851887,59.818286186210706,1.1280039234919077,29.62962962962963,clustcr,3,4,gliph,1
166,,554,359,8.693519710624733,0.06130831953896144,8.683387502299626,61.90913128187496,2.379346293003005,27.401129943502823,clustcr,2,4,gliph,2
167,2.0,153,81,3.7765924836000244,0.06130831953896144,3.765254185319188,59.13502438012243,1.1038204452075795,29.315960912052116,clustcr,3,4,gliph,2
168,,543,340,8.452862572024028,0.06742675003064852,8.44215560051499,62.85340912412737,2.5749494206363805,30.501089324618736,clustcr,2,4,gliph,3
169,3.0,160,88,3.757508888071595,0.06742675003064852,3.745938323830544,60.49625721500721,1.275213046410398,34.04255319148936,clustcr,3,4,gliph,3
170,,576,374,8.992276572269217,0.07355645457888929,8.992827806044259,61.76979993386244,2.556243486789677,28.425357873210633,clustcr,2,4,gliph,4
171,4.0,161,90,3.9046217972293737,0.07355645457888929,3.904861153681113,59.80996746524696,1.2811867835468644,32.810047095761384,clustcr,3,4,gliph,4
172,,546,351,8.629566070115224,0.06741848492277519,8.630095004596997,61.81778538921397,2.457860864235366,28.480113636363637,clustcr,2,4,gliph,5
173,5.0,168,96,3.9960774699681294,0.06741848492277519,3.996322402696905,58.34827870542157,1.2197364388599448,30.521472392638035,clustcr,3,4,gliph,5
174,,533,332,8.416084344734584,0.06742675003064852,8.410985777341834,62.6007055275348,2.268268759195684,26.96793002915452,clustcr,2,4,gliph,6
175,6.0,154,76,3.7697682971680764,0.06742675003064852,3.7641000490436487,60.81932497516913,1.0299166257969592,27.36156351791531,clustcr,3,4,gliph,6
176,,537,340,8.452344468280723,0.06129328838492185,8.446732867475788,62.557935030002064,2.3476768419762166,27.793904208998548,clustcr,2,4,gliph,7
177,7.0,147,75,3.671467974256819,0.06129328838492185,3.6655633198479833,60.84089191232047,1.0849577050386172,29.598662207357858,clustcr,3,4,gliph,7
178,,574,370,9.00398406374502,0.06129328838492185,9.005087966652363,61.67392566782811,2.464292282228897,27.36555479918312,clustcr,2,4,gliph,8
179,8.0,168,97,4.0269690468893655,0.06129328838492185,4.027462759762153,57.147817460317455,1.1156746153374608,27.701674277016743,clustcr,3,4,gliph,8
180,,556,357,8.717508582638548,0.0674350171652771,8.717508582638548,62.30185981085262,2.415399705738107,27.70745428973277,clustcr,2,4,gliph,9
181,9.0,150,74,3.739578224619912,0.0674350171652771,3.739578224619912,61.59889369889368,1.1647866601275134,31.147540983606557,clustcr,3,4,gliph,9
182,,521,319,8.276623137759794,0.07356998344675372,8.276623137759794,62.96019559455261,2.3603703022500153,28.51851851851852,clustcr,2,4,gliph,10
183,10.0,148,76,3.7030225001532706,0.07356998344675372,3.7030225001532706,60.150418275418275,1.072895591931825,28.973509933774835,clustcr,3,4,gliph,10
184,,665,464,8.473797119215446,0.05107774032076821,8.473797119215446,59.800811552691265,1.8694452957401164,22.06148282097649,clustcr,2,5,gliph,1
185,1.0,164,84,3.3558075390744713,0.05107774032076821,3.3558075390744713,59.253290747193184,0.8478904893247523,25.266362252663622,clustcr,3,5,gliph,1
186,,645,453,8.260114425827544,0.05619125459746629,8.255427841634738,59.794551271295454,1.9565772669220944,23.70049504950495,clustcr,2,5,gliph,2
187,2.0,174,99,3.4480997139354312,0.05619125459746629,3.443167305236271,57.28439982750328,0.9246487867177522,26.85459940652819,clustcr,3,5,gliph,2
188,,671,471,8.647461436306058,0.05618551435284503,8.642795116718599,59.019667615047645,1.9461613117433723,22.5177304964539,clustcr,2,5,gliph,3
189,3.0,185,110,3.682705077127388,0.05618551435284503,3.6777851560504673,55.41728091728091,0.9143382540736579,24.86111111111111,clustcr,3,5,gliph,3
190,,677,473,8.758937691521961,0.056179775280898875,8.754724690979671,58.767427386334326,1.9051997139646542,21.76196032672112,clustcr,2,5,gliph,4
191,4.0,191,113,3.794688457609806,0.056179775280898875,3.7899683318010013,54.636378746326386,0.8734293594851363,23.045822102425877,clustcr,3,5,gliph,4
192,,670,470,8.707865168539326,0.056179775280898875,8.708309923898055,58.86292563158234,1.7774145768425353,20.410557184750733,clustcr,2,5,gliph,5
193,5.0,163,88,3.529111338100102,0.056179775280898875,3.529291587925839,56.369080816933575,0.7763419990806476,21.99710564399421,clustcr,3,5,gliph,5
194,,640,437,8.366106542724348,0.06129015782215639,8.356745160136896,59.35385101010102,1.9512693466823312,23.34963325183374,clustcr,2,5,gliph,6
195,6.0,188,104,3.7489146534552327,0.06129015782215639,3.739081575317975,56.310982162045995,0.9705266384022067,25.956284153005466,clustcr,3,5,gliph,6
196,,662,458,8.442288049029623,0.056179775280898875,8.443150475022986,59.46793681310297,1.8898763918684238,22.383545069570477,clustcr,2,5,gliph,7
197,7.0,176,98,3.4780388151174666,0.056179775280898875,3.4783941158443152,57.20326233110324,0.8683215854530596,24.963289280469898,clustcr,3,5,gliph,7
198,,693,493,8.855975485188969,0.056179775280898875,8.851320292149753,59.055859564517576,2.0123601818274683,22.735141373341026,clustcr,2,5,gliph,8
199,8.0,175,103,3.564862104187947,0.056179775280898875,3.5599366668369172,56.146918161203864,0.9499974462434241,26.685796269727405,clustcr,3,5,gliph,8
200,,688,486,8.78582009500945,0.05108034938958982,8.776949013998161,59.33624031007752,2.0333094921835086,23.166472642607683,clustcr,2,5,gliph,9
201,9.0,173,101,3.524544107881698,0.05108034938958982,3.5148666598549094,56.20423892100192,0.9400224787984061,26.74418604651163,clustcr,3,5,gliph,9
202,,667,468,8.64367816091954,0.06641123882503193,8.634343227916007,59.17632758712219,2.023195217902212,23.431952662721894,clustcr,2,5,gliph,10
203,10.0,181,105,3.67816091954023,0.06641123882503193,3.6683186021560314,55.91497514149447,0.9911612936187605,27.01949860724234,clustcr,3,5,gliph,10
